CVEGEO,year,crime_count,observed_g,z_score,cluster,p_sim,significant,state,municipality
07050,2015,0.0,0.0003119904993860832,-0.038651677661895506,ns,0.149,False,Chiapas,La Libertad
07051,2015,3.0,5.463758030286474e-05,-0.14708917706856026,ns,0.4,False,Chiapas,Mapastepec
07052,2015,1.0,0.0001581550494593973,-0.10347465873659067,ns,0.353,False,Chiapas,Las Margaritas
07053,2015,1.0,6.541867954911433e-05,-0.14255227146567595,ns,0.45,False,Chiapas,Mazapa de Madero
07054,2015,8.0,0.0009864513921043624,0.24552070429923778,ns,0.092,False,Chiapas,Mazatán
07055,2015,4.0,5.032510014694929e-05,-0.14890324266018484,ns,0.426,False,Chiapas,Metapa
07056,2015,0.0,6.709473105077058e-06,-0.16729484793483582,ns,0.159,False,Chiapas,Mitontic
07057,2015,13.0,0.00044581737019523925,0.01773724420664468,ns,0.22,False,Chiapas,Motozintla
07058,2015,0.0,3.0192628972846762e-05,-0.15739921945230195,ns,0.473,False,Chiapas,Nicolás Ruíz
07059,2015,6.0,7.604987977408712e-05,-0.1380582268031333,ns,0.435,False,Chiapas,Ocosingo
07060,2015,0.0,2.4154103178277408e-05,-0.15994380963352495,ns,0.253,False,Chiapas,Ocotepec
07061,2015,17.0,0.0010822728737113403,0.2858401527657344,ns,0.107,False,Chiapas,Ocozocoautla de Espinosa
07062,2015,1.0,8.722490606548577e-05,-0.1333634788084492,ns,0.462,False,Chiapas,Ostuacán
07063,2015,2.0,0.001602286680488738,0.5050487138937155,ns,0.071,False,Chiapas,Osumacinta
07064,2015,2.0,2.348410126344465e-05,-0.160219515935016,ns,0.221,False,Chiapas,Oxchuc
07065,2015,30.0,7.804475237155345e-05,-0.1371512148674413,ns,0.46,False,Chiapas,Palenque
07066,2015,0.0,3.738135015685789e-05,-0.15436994542703644,ns,0.297,False,Chiapas,Pantelhó
07067,2015,0.0,4.2772891044866245e-05,-0.15209798990808737,ns,0.294,False,Chiapas,Pantepec
07068,2015,8.0,5.815813196080142e-05,-0.14559077189466116,ns,0.353,False,Chiapas,Pichucalco
07069,2015,11.0,9.563116569357761e-05,-0.12979455507066354,ns,0.359,False,Chiapas,Pijijiapan
07070,2015,0.0,5.635957408264729e-05,-0.14637266200033563,ns,0.472,False,Chiapas,El Porvenir
07071,2015,3.0,0.0001207778090905431,-0.11921990109761098,ns,0.278,False,Chiapas,Villa Comaltitlán
07072,2015,10.0,5.75213476101318e-05,-0.14585309748863123,ns,0.407,False,Chiapas,Pueblo Nuevo Solistahuacán
07073,2015,0.0,4.5288943459270145e-05,-0.15103774399924444,ns,0.436,False,Chiapas,Rayón
07074,2015,14.0,0.0005879155173455212,0.0775988021086738,ns,0.156,False,Chiapas,Reforma
07075,2015,1.0,0.0002365136876006441,-0.07045559061666594,ns,0.213,False,Chiapas,Las Rosas
07076,2015,1.0,5.032206119162641e-05,-0.14891374330529447,ns,0.476,False,Chiapas,Sabanilla
07077,2015,2.0,0.00016505968316592523,-0.10056307883605199,ns,0.291,False,Chiapas,Salto de Agua
07078,2015,41.0,4.476676515355e-06,-0.1680969831868565,CS,0.011,True,Chiapas,San Cristóbal de las Casas
07079,2015,3.0,0.0015821892990861147,0.4965699270952775,ns,0.072,False,Chiapas,San Fernando
07080,2015,0.0,5.750976947208906e-05,-0.14588797815629315,ns,0.409,False,Chiapas,Siltepec
07081,2015,10.0,4.227819049344688e-05,-0.15227513034092216,ns,0.241,False,Chiapas,Simojovel
07082,2015,0.0,6.709473105077058e-06,-0.16729484793483582,ns,0.16,False,Chiapas,Sitalá
07083,2015,0.0,0.0001736076165938689,-0.09696520264825581,ns,0.373,False,Chiapas,Socoltenango
07084,2015,3.0,1.207778090905431e-05,-0.16502245030204069,ns,0.13,False,Chiapas,Solosuchiapa
07085,2015,0.0,0.00010869346430224837,-0.124319547096403,ns,0.373,False,Chiapas,Soyaló
07086,2015,7.0,0.002123847485606152,0.7247469072791284,ns,0.05,False,Chiapas,Suchiapa
07087,2015,13.0,0.0013690907626640895,0.40669403843303453,ns,0.073,False,Chiapas,Suchiate
