CVEGEO,year,crime_count,local_I,quadrant_code,cluster,p_sim,significant,state,municipality
07111,2015,0.0,0.014494145794210654,3,ns,0.291,False,Chiapas,Zinacantán
07112,2015,0.0,0.02685733027150209,3,ns,0.23,False,Chiapas,San Juan Cancuc
07113,2015,1.0,0.026447668050002465,3,ns,0.258,False,Chiapas,Aldama
07114,2015,0.0,0.024590746450665335,3,ns,0.367,False,Chiapas,Benemérito de las Américas
07115,2015,0.0,0.023869560689489998,3,ns,0.327,False,Chiapas,Maravilla Tenejapa
07116,2015,0.0,0.024590746450665335,3,ns,0.367,False,Chiapas,Marqués de Comillas
07117,2015,0.0,0.026033117973016,3,ns,0.432,False,Chiapas,Montecristo de Guerrero
07118,2015,0.0,0.014974936301660876,3,ns,0.222,False,Chiapas,San Andrés Duraznal
07119,2015,1.0,0.02610506090154773,3,ns,0.471,False,Chiapas,Santiago el Pinar
07120,2015,0.0,0.026033117973016,3,ns,0.399,False,,
07120,2015,0.0,0.026033117973016,3,ns,0.399,False,Chiapas,Capitán Luis Ángel Vidal
07121,2015,0.0,0.023436849232784798,3,ns,0.435,False,,
07121,2015,0.0,0.023436849232784798,3,ns,0.435,False,Chiapas,Rincón Chamula San Pedro
07122,2015,0.0,0.01737888883891199,3,ns,0.261,False,,
07122,2015,0.0,0.01737888883891199,3,ns,0.261,False,Chiapas,El Parral
07123,2015,0.0,0.018340469853812432,3,ns,0.242,False,,
07123,2015,0.0,0.018340469853812432,3,ns,0.242,False,Chiapas,Emiliano Zapata
07124,2015,0.0,0.016142570391182845,3,ns,0.33,False,,
07124,2015,0.0,0.016142570391182845,3,ns,0.33,False,Chiapas,Mezcalapa
07125,2015,0.0,0.026610066581956273,3,ns,0.332,False,,
07125,2015,0.0,0.026610066581956273,3,ns,0.332,False,Chiapas,Honduras de la Sierra
08001,2015,11.0,-0.29589389756276646,2,LH,0.001,True,Chihuahua,Ahumada
08002,2015,9.0,-0.14315407082010767,2,LH,0.021,True,Chihuahua,Aldama
08003,2015,2.0,-0.0038320523285897182,2,ns,0.223,False,Chihuahua,Allende
08004,2015,1.0,-0.6084033780366198,2,LH,0.012,True,Chihuahua,Aquiles Serdán
08005,2015,2.0,-0.48115538288816645,2,LH,0.012,True,Chihuahua,Ascensión
08006,2015,0.0,0.011609402749509315,3,ns,0.189,False,Chihuahua,Bachíniva
08007,2015,0.0,0.0265740072938975,3,ns,0.232,False,Chihuahua,Balleza
08008,2015,0.0,0.024951339331253,3,ns,0.474,False,Chihuahua,Batopilas de Manuel Gómez Morín
08009,2015,5.0,0.018999361206733966,3,ns,0.418,False,Chihuahua,Bocoyna
08010,2015,4.0,-0.20975090067338878,2,LH,0.021,True,Chihuahua,Buenaventura
08011,2015,12.0,0.00942185642517862,3,ns,0.442,False,Chihuahua,Camargo
08012,2015,0.0,0.024590746450665328,3,ns,0.467,False,Chihuahua,Carichí
08013,2015,1.0,0.024392025159274057,3,ns,0.322,False,Chihuahua,Casas Grandes
08014,2015,0.0,0.02507153695811555,3,ns,0.441,False,Chihuahua,Coronado
08015,2015,0.0,0.01954244612243799,3,ns,0.294,False,Chihuahua,Coyame del Sotol
08016,2015,0.0,0.018340469853812432,3,ns,0.241,False,Chihuahua,La Cruz
08017,2015,31.0,-0.014895245589858516,4,ns,0.163,False,Chihuahua,Cuauhtémoc
08018,2015,1.0,0.019481322698089536,3,ns,0.384,False,Chihuahua,Cusihuiriachi
