,CVEGEO,year,state,municipality,crime_count
483,13023,2015,Hidalgo,Francisco I. Madero,1
484,13024,2015,Hidalgo,Huasca de Ocampo,2
485,13025,2015,Hidalgo,Huautla,0
486,13026,2015,Hidalgo,Huazalingo,0
487,13027,2015,Hidalgo,Huehuetla,0
488,13028,2015,Hidalgo,Huejutla de Reyes,6
489,13029,2015,Hidalgo,Huichapan,2
490,13030,2015,Hidalgo,Ixmiquilpan,5
491,13031,2015,Hidalgo,Jacala de Ledezma,1
492,13032,2015,Hidalgo,Jaltocán,0
493,13033,2015,Hidalgo,Juárez Hidalgo,0
494,13034,2015,Hidalgo,Lolotla,0
495,13035,2015,Hidalgo,Metepec,0
496,13036,2015,Hidalgo,San Agustín Metzquititlán,0
497,13037,2015,Hidalgo,Metztitlán,0
498,13038,2015,Hidalgo,Mineral del Chico,0
499,13039,2015,Hidalgo,Mineral del Monte,1
500,13040,2015,Hidalgo,La Misión,0
501,13041,2015,Hidalgo,Mixquiahuala de Juárez,6
502,13042,2015,Hidalgo,Molango de Escamilla,4
503,13043,2015,Hidalgo,Nicolás Flores,0
504,13044,2015,Hidalgo,Nopala de Villagrán,0
505,13045,2015,Hidalgo,Omitlán de Juárez,2
506,13046,2015,Hidalgo,San Felipe Orizatlán,0
507,13047,2015,Hidalgo,Pacula,0
508,13048,2015,Hidalgo,Pachuca de Soto,78
509,13049,2015,Hidalgo,Pisaflores,0
510,13050,2015,Hidalgo,Progreso de Obregón,2
511,13051,2015,Hidalgo,Mineral de la Reforma,10
512,13052,2015,Hidalgo,San Agustín Tlaxiaca,2
513,13053,2015,Hidalgo,San Bartolo Tutotepec,0
514,13054,2015,Hidalgo,San Salvador,0
515,13055,2015,Hidalgo,Santiago de Anaya,1
516,13056,2015,Hidalgo,Santiago Tulantepec de Lugo Guerrero,1
517,13057,2015,Hidalgo,Singuilucan,0
518,13058,2015,Hidalgo,Tasquillo,0
519,13059,2015,Hidalgo,Tecozautla,0
520,13060,2015,Hidalgo,Tenango de Doria,1
521,13061,2015,Hidalgo,Tepeapulco,6
522,13062,2015,Hidalgo,Tepehuacán de Guerrero,0
523,13063,2015,Hidalgo,Tepeji del Río de Ocampo,9
524,13064,2015,Hidalgo,Tepetitlán,0
525,13065,2015,Hidalgo,Tetepango,0
526,13066,2015,Hidalgo,Villa de Tezontepec,2
527,13067,2015,Hidalgo,Tezontepec de Aldama,1
528,13068,2015,Hidalgo,Tianguistengo,0
529,13069,2015,Hidalgo,Tizayuca,14
530,13070,2015,Hidalgo,Tlahuelilpan,0
531,13071,2015,Hidalgo,Tlahuiltepa,0
532,13072,2015,Hidalgo,Tlanalapa,0
533,13073,2015,Hidalgo,Tlanchinol,0
534,13074,2015,Hidalgo,Tlaxcoapan,2
535,13075,2015,Hidalgo,Tolcayuca,0
536,13076,2015,Hidalgo,Tula de Allende,18
537,13077,2015,Hidalgo,Tulancingo de Bravo,39
538,13078,2015,Hidalgo,Xochiatipan,0
539,13079,2015,Hidalgo,Xochicoatlán,0
540,13080,2015,Hidalgo,Yahualica,2
541,13081,2015,Hidalgo,Zacualtipán de Ángeles,1
542,13082,2015,Hidalgo,Zapotlán de Juárez,0
543,13083,2015,Hidalgo,Zempoala,0
544,13084,2015,Hidalgo,Zimapán,2
545,14001,2015,Jalisco,Acatic,1
546,14002,2015,Jalisco,Acatlán de Juárez,32
547,14003,2015,Jalisco,Ahualulco de Mercado,16
548,14004,2015,Jalisco,Amacueca,0
549,14005,2015,Jalisco,Amatitán,1
550,14006,2015,Jalisco,Ameca,16
551,14007,2015,Jalisco,San Juanito de Escobedo,1
552,14008,2015,Jalisco,Arandas,13
553,14009,2015,Jalisco,El Arenal,3
554,14010,2015,Jalisco,Atemajac de Brizuela,1
555,14011,2015,Jalisco,Atengo,0
556,14012,2015,Jalisco,Atenguillo,0
557,14013,2015,Jalisco,Atotonilco el Alto,20
558,14014,2015,Jalisco,Atoyac,3
559,14015,2015,Jalisco,Autlán de Navarro,20
560,14016,2015,Jalisco,Ayotlán,5
561,14017,2015,Jalisco,Ayutla,1
562,14018,2015,Jalisco,La Barca,42
563,14019,2015,Jalisco,Bolaños,0
564,14020,2015,Jalisco,Cabo Corrientes,1
565,14021,2015,Jalisco,Casimiro Castillo,16
566,14022,2015,Jalisco,Cihuatlán,9
567,14023,2015,Jalisco,Zapotlán el Grande,30
